"timestamp","price","time","diff"
"2016-11-30 12:28:00","16.44","1752005387010","1"
"2016-12-05 14:29:00","19.72","1752005387010","1"
"2016-11-29 15:28:00","17.87","1752005387010","1"
"2016-11-25 08:00:00","12.9","1752005387010","1"
"2016-12-17 10:33:00","12.96","1752005387010","1"
"2016-11-09 12:27:00","12.08","1752005387010","1"
"2016-12-06 12:29:00","15.85","1752005387010","1"
"2016-11-07 15:33:00","15.51","1752005387010","1"
"2016-10-23 13:59:00","12.81","1752005387010","1"
"2016-10-17 13:31:00","15.39","1752005387010","1"
"2016-11-03 08:00:00","13.12","1752005387010","1"
"2016-11-11 12:27:00","16.37","1752005387010","1"
"2016-11-09 14:27:00","18.21","1752005387010","1"
"2016-10-26 14:26:00","18.75","1752005387010","1"
"2016-12-18 16:03:00","14.65","1752005387010","1"
"2016-12-16 10:29:00","16.48","1752005387010","1"
"2016-11-10 14:00:00","14.6","1752005387010","1"
"2016-10-11 14:30:00","14.63","1752005387010","1"
"2016-10-13 11:04:00","18.09","1752005387010","1"
"2016-10-24 11:29:00","15.25","1752005387010","1"
"2016-11-12 10:00:00","14.99","1752005387010","1"
"2016-12-15 08:30:00","12.3","1752005387010","1"
"2016-10-15 14:01:00","16.65","1752005387010","1"
"2016-12-15 13:26:00","19.23","1752005387010","1"
"2016-12-11 12:32:00","12.17","1752005387010","1"
"2016-11-23 15:31:00","16.43","1752005387010","1"
"2016-10-08 14:03:00","15.3","1752005387010","1"
"2016-10-19 11:25:00","12.69","1752005387010","1"
"2016-10-15 15:27:00","13.55","1752005387010","1"
"2016-10-05 15:30:00","16.29","1752005387010","1"
"2016-11-22 07:57:00","13.09","1752005387010","1"
"2016-11-08 15:33:00","15.61","1752005387010","1"
"2016-10-15 10:27:00","12.88","1752005387010","1"
"2016-12-10 15:59:00","17.85","1752005387010","1"
"2016-12-01 08:25:00","12.55","1752005387010","1"
"2016-11-03 15:26:00","12.46","1752005387010","1"
"2016-10-13 08:31:00","13.79","1752005387010","1"
"2016-11-08 07:59:00","11.91","1752005387010","1"
"2016-12-18 12:56:00","12.58","1752005387010","1"
"2016-10-12 10:01:00","17.86","1752005387010","1"
"2016-11-06 15:00:00","12.62","1752005387010","1"
"2016-11-25 12:00:00","16.31","1752005387010","1"
"2016-10-08 09:30:00","11.28","1752005387010","1"
"2016-11-28 13:02:00","13.88","1752005387010","1"
"2016-12-10 11:02:00","11.66","1752005387010","1"
"2016-11-24 15:31:00","18.6","1752005387010","1"
"2016-10-22 08:59:00","11.04","1752005387010","1"
"2016-12-10 15:02:00","13.47","1752005387010","1"
"2016-10-16 14:01:00","16.72","1752005387010","1"
"2016-12-14 12:30:00","15.98","1752005387010","1"
"2016-12-12 14:02:00","16.35","1752005387010","1"
"2016-12-19 16:30:00","13.34","1752005387010","1"
"2016-11-04 13:26:00","19.79","1752005387010","1"
"2016-10-27 15:59:00","13.71","1752005387010","1"
"2016-11-30 10:28:00","18.38","1752005387010","1"
"2016-10-12 08:04:00","14.6","1752005387010","1"
"2016-12-07 14:59:00","12.37","1752005387010","1"
"2016-11-01 15:27:00","12.89","1752005387010","1"
"2016-10-07 08:30:00","12.7","1752005387010","1"
"2016-11-23 08:30:00","11.28","1752005387010","1"
"2016-11-14 12:00:00","13.19","1752005387010","1"
